#'chr'	'start'	'end'	'240618_05_FZ_bCT_H3K27me3_ALI_ep-_120_S15.filtered.bam'	'240618_06_FZ_bCT_H3K4me3_ALI_ep-_120_S16.filtered.bam'	'240618_09_FZ_bCT_H3K4me3_96w_ep-_120_S19.filtered.bam'	'240618_08_FZ_bCT_H3K27me3_96w_ep-_120_S18.filtered.bam'	'240618_10_FZ_bCT_H3K27me3_96w_epplus_6_S20.filtered.bam'	'240618_07_FZ_bCT_H3K27me3_ALI_epplus_6_S17.filtered.bam'	#'chr'	'start'	'end'	'15082024_KH_M-96-well_H3K27ac_S34.filtered.bam'	'07082024_KH_M-96-well_H3_S10.filtered.bam'	'29082024_KH_M-Epcam-96-well_H3K4me3_S47.filtered.bam'	'07082024_KH_M-96-well_H3K4me3_S8.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K4me3_S53.filtered.bam'	'21082024_KH_M-Epcam-96-well_H3K27me3_S45.filtered.bam'	'13082024_KH_M-ALI_H3K27ac_S14.filtered.bam'	'15082024_KH_M-ALI_H3K27me3_S26.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K9me3_S56.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K4me3_S48.filtered.bam'	'15082024_KH_M-ALI_H3_S30.filtered.bam'	'21082024_KH_M-Epcam-96-well_H3K4me3_S44.filtered.bam'	'13082024_KH_M-96-well_H3K4me3_S17.filtered.bam'	'07082024_KH_M-96-well_H3K9me3_S7.filtered.bam'	'07082024_KH_M-ALI_H3K9me3_S2.filtered.bam'	'15082024_KH_M-96-well_H3K9me3_S32.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K9me3_S51.filtered.bam'	'13082024_KH_M-96-well_H3K27ac_S18.filtered.bam'	'07082024_KH_M-ALI_H3K27me3_S1.filtered.bam'	'07082024_KH_M-ALI_H3K27ac_S4.filtered.bam'	'21082024_KH_M-Epcam-ALI_H3K4me3_S42.filtered.bam'	'13082024_KH_M-ALI_H3K27me3_S11.filtered.bam'	'07082024_KH_M-ALI_H3_S5.filtered.bam'	'21082024_KH_M-Epcam-ALI_H3K27me3_S43.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K27me3_S49.filtered.bam'	'13082024_KH_M-ALI_H3K9me3_S12.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3_S57.filtered.bam'	'07082024_KH_M-96-well_H3K27ac_S9.filtered.bam'	'13082024_KH_M-ALI_H3K4me3_S13.filtered.bam'	'29082024_KH_M-Epcam-ALI_H3K4me3_S46.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K27ac_S50.filtered.bam'	'13082024_KH_M-96-well_H3K9me3_S16.filtered.bam'	'15082024_KH_M-ALI_H3K4me3_S28.filtered.bam'	'15082024_KH_M-ALI_H3K27ac_S29.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K27me3_S54.filtered.bam'	'07082024_KH_M-ALI_H3K4me3_S3.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3_S52.filtered.bam'	'13082024_KH_M-96-well_H3K27me3_S15.filtered.bam'	'15082024_KH_M-96-well_H3K27me3_S31.filtered.bam'	'13082024_KH_M-96-well_H3_S19.filtered.bam'	'15082024_KH_M-96-well_H3_S35.filtered.bam'	'07082024_KH_M-96-well_H3K27me3_S6.filtered.bam'	'15082024_KH_M-96-well_H3K4me3_S33.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K27ac_S55.filtered.bam'	'15082024_KH_M-ALI_H3K9me3_S27.filtered.bam'	#'chr'	'start'	'end'	'15102024_KH_M-ALI_H3_S14.filtered.bam'	'15102024_KH_M-ALI_H3K27ac_S13.filtered.bam'	'15102024_KH_M-96-well_H3K4me3_S16.filtered.bam'	'15102024_KH_M-ALI_H3K4me3_S11.filtered.bam'	'15102024_KH_M-96-well_H3K9me3_S17.filtered.bam'	'15102024_KH_M-ALI_H3K9me3_S12.filtered.bam'	'15102024_KH_M-96-well_H3_S19.filtered.bam'	'15102024_KH_M-ALI_H3K27me3_S10.filtered.bam'	'15102024_KH_M-96-well_H3K27ac_S18.filtered.bam'	'15102024_KH_M-96-well_H3K27me3_S15.filtered.bam'
J02459.1_spikein	0	1000	2468.0	8079.0	12179.0	10409.0	1667.0	10228.0	J02459.1_spikein	0	1000	1019.0	591.0	6968.0	1387.0	14316.0	397.0	2504.0	1077.0	2.0	30623.0	597.0	3642.0	3512.0	1184.0	814.0	1779.0	2440.0	459.0	0.0	2159.0	2332.0	547.0	1292.0	3272.0	2590.0	1326.0	3288.0	1358.0	545.0	7471.0	3645.0	2306.0	7313.0	1020.0	2734.0	2107.0	2216.0	2282.0	2068.0	800.0	640.0	1781.0	6038.0	6260.0	791.0	J02459.1_spikein	0	1000	1123.0	1801.0	9580.0	8488.0	1478.0	1305.0	1485.0	2286.0	2740.0	1788.0
J02459.1_spikein	1000	2000	3271.0	11020.0	15852.0	13524.0	2422.0	14217.0	J02459.1_spikein	1000	2000	1418.0	755.0	9169.0	1808.0	18116.0	514.0	3221.0	1280.0	2.0	37739.0	759.0	4652.0	4639.0	1592.0	1074.0	2256.0	3365.0	595.0	0.0	2823.0	3173.0	713.0	1645.0	4095.0	3159.0	1653.0	4132.0	1734.0	726.0	10065.0	4604.0	2799.0	9453.0	1254.0	3417.0	2597.0	2603.0	2890.0	2687.0	1088.0	839.0	2577.0	7927.0	8160.0	1101.0	J02459.1_spikein	1000	2000	1468.0	2295.0	11718.0	10707.0	2000.0	1569.0	2072.0	3203.0	3274.0	2433.0
J02459.1_spikein	2000	3000	2973.0	10351.0	14113.0	12416.0	2059.0	13284.0	J02459.1_spikein	2000	3000	1398.0	714.0	8614.0	1616.0	17137.0	424.0	3116.0	1235.0	6.0	35925.0	729.0	4324.0	4344.0	1420.0	1050.0	2164.0	3198.0	565.0	0.0	2729.0	2827.0	724.0	1583.0	4065.0	3038.0	1629.0	3807.0	1762.0	719.0	9058.0	4289.0	2526.0	9163.0	1181.0	3411.0	2578.0	2414.0	2767.0	2521.0	1042.0	783.0	2391.0	7558.0	7894.0	962.0	J02459.1_spikein	2000	3000	1427.0	2169.0	10863.0	9982.0	1925.0	1585.0	1889.0	2906.0	3056.0	2111.0
J02459.1_spikein	3000	4000	4118.0	12672.0	18442.0	16595.0	3822.0	18661.0	J02459.1_spikein	3000	4000	1811.0	1004.0	13076.0	2124.0	21233.0	651.0	3786.0	1694.0	7.0	45517.0	1091.0	6465.0	5819.0	1881.0	1426.0	2942.0	4435.0	904.0	0.0	3729.0	4048.0	1087.0	2251.0	5303.0	4484.0	2067.0	5352.0	2236.0	1016.0	13529.0	5642.0	3522.0	11081.0	1705.0	4249.0	3292.0	3478.0	3472.0	3214.0	1459.0	1169.0	3246.0	9033.0	10022.0	1528.0	J02459.1_spikein	3000	4000	2059.0	2708.0	14355.0	12782.0	2591.0	2137.0	2851.0	4069.0	4134.0	2918.0
J02459.1_spikein	4000	5000	3947.0	12506.0	17069.0	15091.0	3474.0	17643.0	J02459.1_spikein	4000	5000	1704.0	905.0	11554.0	1923.0	19793.0	591.0	3608.0	1481.0	3.0	41984.0	1080.0	5892.0	5331.0	1850.0	1381.0	2842.0	3950.0	764.0	0.0	3451.0	3803.0	990.0	1968.0	4850.0	4143.0	1969.0	5221.0	2143.0	919.0	13213.0	5006.0	2950.0	10264.0	1574.0	3880.0	3015.0	3340.0	3208.0	2981.0	1384.0	1078.0	2827.0	8527.0	9312.0	1379.0	J02459.1_spikein	4000	5000	1829.0	2724.0	13294.0	12376.0	2505.0	2003.0	2472.0	3832.0	3842.0	2842.0
J02459.1_spikein	5000	6000	5733.0	18403.0	26005.0	24115.0	6408.0	28260.0	J02459.1_spikein	5000	6000	2837.0	1490.0	21418.0	3163.0	31326.0	973.0	5837.0	2539.0	2.0	67616.0	1815.0	10024.0	8531.0	3367.0	2167.0	4548.0	6512.0	1336.0	0.0	5748.0	6330.0	1667.0	3234.0	7476.0	6793.0	3043.0	8408.0	3442.0	1643.0	22215.0	8200.0	5402.0	15673.0	2614.0	6531.0	4755.0	5402.0	5005.0	4930.0	2249.0	1765.0	4642.0	13703.0	15192.0	2303.0	J02459.1_spikein	5000	6000	3149.0	4388.0	21488.0	18370.0	4020.0	3262.0	4298.0	6166.0	6280.0	4283.0
J02459.1_spikein	6000	7000	4872.0	14656.0	21613.0	19565.0	4632.0	21234.0	J02459.1_spikein	6000	7000	2047.0	1183.0	15921.0	2572.0	24622.0	756.0	4396.0	2136.0	0.0	52770.0	1308.0	7276.0	6389.0	2369.0	1756.0	3273.0	5093.0	1052.0	0.0	4253.0	4510.0	1238.0	2604.0	5905.0	4867.0	2342.0	6299.0	2528.0	1095.0	16464.0	6404.0	4068.0	13389.0	1997.0	5122.0	3898.0	4182.0	4353.0	3758.0	1728.0	1248.0	3747.0	10999.0	11767.0	1724.0	J02459.1_spikein	6000	7000	2336.0	3304.0	16187.0	14869.0	2956.0	2480.0	3136.0	4437.0	4871.0	3359.0
J02459.1_spikein	7000	8000	4301.0	13993.0	19894.0	17862.0	3895.0	19933.0	J02459.1_spikein	7000	8000	1986.0	1033.0	13600.0	2305.0	23016.0	703.0	4123.0	1874.0	0.0	49513.0	1156.0	6579.0	5979.0	2314.0	1615.0	3248.0	4587.0	880.0	0.0	3954.0	4410.0	1042.0	2259.0	5262.0	4683.0	2207.0	5653.0	2346.0	1027.0	14328.0	5713.0	3866.0	11954.0	1736.0	4784.0	3366.0	3772.0	3995.0	3471.0	1481.0	1266.0	3468.0	9578.0	10760.0	1604.0	J02459.1_spikein	7000	8000	2127.0	3169.0	15100.0	13298.0	2702.0	2217.0	2771.0	4090.0	4304.0	3038.0
J02459.1_spikein	8000	9000	3493.0	10874.0	15570.0	13638.0	2210.0	13548.0	J02459.1_spikein	8000	9000	1495.0	751.0	9501.0	1764.0	18082.0	621.0	3197.0	1371.0	2.0	38342.0	768.0	4458.0	4566.0	1656.0	1058.0	2402.0	3367.0	609.0	2.0	2820.0	2924.0	790.0	1690.0	4187.0	3255.0	1606.0	4291.0	1870.0	726.0	9492.0	4626.0	2812.0	9419.0	1257.0	3525.0	2643.0	2714.0	2901.0	2463.0	1010.0	848.0	2419.0	7720.0	8345.0	1035.0	J02459.1_spikein	8000	9000	1419.0	2144.0	11996.0	10630.0	1779.0	1742.0	2059.0	3041.0	3155.0	2291.0
J02459.1_spikein	9000	10000	3640.0	11225.0	16187.0	15155.0	3456.0	16779.0	J02459.1_spikein	9000	10000	1635.0	794.0	10869.0	1881.0	18355.0	645.0	3317.0	1461.0	9.0	38431.0	852.0	5365.0	4897.0	1726.0	1180.0	2686.0	3712.0	739.0	0.0	3073.0	3309.0	907.0	1932.0	4409.0	3711.0	1756.0	4698.0	1930.0	827.0	11210.0	4705.0	3051.0	9429.0	1441.0	3636.0	2689.0	3237.0	3150.0	2716.0	1183.0	980.0	2585.0	7852.0	8714.0	1209.0	J02459.1_spikein	9000	10000	1671.0	2303.0	12406.0	10946.0	2295.0	1794.0	2269.0	3336.0	3521.0	2476.0
