Status	Bowtie2/01102024_KH_X-ALI_H3K27ac_S7.bam	Bowtie2/01102024_KH_X-ALI_H3K27me3_S1.bam	Bowtie2/01102024_KH_X-96-well_H3_S6.bam	Bowtie2/01102024_KH_X-96-well_H3K27me3_S4.bam	Bowtie2/13082024_KH_X-ALI_H3_S22.bam	Bowtie2/01102024_KH_X-ALI_H3_S3.bam	Bowtie2/15082024_KH_X-ALI_H3_S38.bam	Bowtie2/15082024_KH_X-96-well_H3K27me3_S39.bam	Bowtie2/15082024_KH_X-96-well_H3_S41.bam	Bowtie2/15082024_KH_X-ALI_H3K27me3_S36.bam	Bowtie2/01102024_KH_X-96-well_H3K27ac_S8.bam	Bowtie2/01102024_KH_X-96-well_H3K4me3_S5.bam	Bowtie2/13082024_KH_X-96-well_H3_S25.bam	Bowtie2/13082024_KH_X-96-well_H3K4me3_S24.bam	Bowtie2/15082024_KH_X-ALI_H3K4me3_S37.bam	Bowtie2/13082024_KH_X-96-well_H3K27me3_S23.bam	Bowtie2/01102024_KH_X-ALI_H3K4me3_S2.bam	Bowtie2/13082024_KH_X-ALI_H3K4me3_S21.bam	Bowtie2/15082024_KH_X-96-well_H3K4me3_S40.bam
Assigned	16568370.0	11420739.0	7750090.0	10824771.0	3658112.0	14811068.0	5907636.0	4484930.0	3063516.0	6595527.0	17139147.0	23473581.0	2834988.0	7375684.0	15256866.0	4254965.0	15320091.0	6575718.0	10596981.0
Unassigned_Unmapped	916293.0	1290802.0	894500.0	933423.0	753035.0	2019703.0	1160064.0	756864.0	663217.0	899541.0	803524.0	1268181.0	511757.0	340345.0	1293786.0	536538.0	759301.0	351584.0	768235.0
Unassigned_Read_Type	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_Singleton	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_MappingQuality	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_Chimera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_FragmentLength	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_Duplicate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_MultiMapping	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_Secondary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_NonSplit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_NoFeatures	18390033.0	22037917.0	22577186.0	24354592.0	15988245.0	36960548.0	14089758.0	18191772.0	12673275.0	11582208.0	15114200.0	17012416.0	15353396.0	5309443.0	6816339.0	13105614.0	14894391.0	5368300.0	9844265.0
Unassigned_Overlapping_Length	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned_Ambiguity	47626.0	49815.0	39169.0	42729.0	19320.0	63742.0	28200.0	16440.0	15633.0	18062.0	36209.0	43290.0	11804.0	13105.0	16950.0	18917.0	38078.0	12375.0	17332.0
Total_Read	35922322.0	34799273.0	31260945.0	36155515.0	20418712.0	53855061.0	21185658.0	23450006.0	16415641.0	19095338.0	33093080.0	41797468.0	18711945.0	13038577.0	23383941.0	17916034.0	31011861.0	12307977.0	21226813.0
FRiP	0.46122770126051427	0.32818901130492006	0.2479160498826891	0.2993947396406883	0.1791548849898074	0.27501719847648115	0.27885072061486127	0.19125496172580936	0.18662177127289759	0.34539985623716113	0.5179072785005203	0.5616029420729505	0.15150685831964555	0.5656816690962518	0.6524505856390931	0.2374948049328328	0.4940074702385645	0.5342647292889806	0.49922619095009696
