#'chr'	'start'	'end'	'240618_12_FZ_bCT_H3K4me3_Xeno_ep-_120_S22.filtered.bam'	'240618_11_FZ_bCT_H3K27me3_Xeno_ep-_120_S21.filtered.bam'	#'chr'	'start'	'end'	'15082024_KH_X-96-well_H3K27me3_S39.filtered.bam'	'13082024_KH_X-ALI_H3K27me3_S20.filtered.bam'	'13082024_KH_X-ALI_H3K4me3_S21.filtered.bam'	'15082024_KH_X-ALI_H3K27me3_S36.filtered.bam'	'13082024_KH_X-96-well_H3K4me3_S24.filtered.bam'	'13082024_KH_X-96-well_H3K27me3_S23.filtered.bam'	'15082024_KH_X-ALI_H3K4me3_S37.filtered.bam'	'13082024_KH_X-ALI_H3_S22.filtered.bam'	'15082024_KH_X-ALI_H3_S38.filtered.bam'	'15082024_KH_X-96-well_H3_S41.filtered.bam'	'15082024_KH_X-96-well_H3K4me3_S40.filtered.bam'	'13082024_KH_X-96-well_H3_S25.filtered.bam'	#'chr'	'start'	'end'	'01102024_KH_X-ALI_H3_S3.filtered.bam'	'01102024_KH_X-ALI_H3K27me3_S1.filtered.bam'	'01102024_KH_X-96-well_H3_S6.filtered.bam'	'01102024_KH_X-96-well_H3K27ac_S8.filtered.bam'	'01102024_KH_X-96-well_H3K27me3_OldConA_test_S9.filtered.bam'	'01102024_KH_X-ALI_H3K27ac_S7.filtered.bam'	'01102024_KH_X-96-well_H3K4me3_S5.filtered.bam'	'01102024_KH_X-ALI_H3K4me3_S2.filtered.bam'	'01102024_KH_X-96-well_H3K27me3_S4.filtered.bam'
NC_001416.1_spikein	0	1000	6747.0	4326.0	NC_001416.1_spikein	0	1000	3476.0	6.0	4518.0	3077.0	5588.0	2060.0	3322.0	1302.0	1743.0	1467.0	3886.0	2070.0	NC_001416.1_spikein	0	1000	1749.0	1903.0	1737.0	2854.0	2311.0	2834.0	4774.0	2656.0	4008.0
NC_001416.1_spikein	1000	2000	8691.0	5644.0	NC_001416.1_spikein	1000	2000	4535.0	8.0	5405.0	3852.0	6944.0	2725.0	4401.0	1784.0	2284.0	1847.0	5155.0	2739.0	NC_001416.1_spikein	1000	2000	2335.0	2620.0	2211.0	3621.0	2915.0	3634.0	6412.0	3460.0	5295.0
NC_001416.1_spikein	2000	3000	8211.0	5154.0	NC_001416.1_spikein	2000	3000	4239.0	6.0	5435.0	3806.0	6898.0	2523.0	4181.0	1537.0	2291.0	1781.0	4992.0	2721.0	NC_001416.1_spikein	2000	3000	2229.0	2470.0	2140.0	3473.0	2616.0	3470.0	5876.0	3197.0	4997.0
NC_001416.1_spikein	3000	4000	10012.0	6705.0	NC_001416.1_spikein	3000	4000	5600.0	19.0	6414.0	5205.0	8752.0	2955.0	5976.0	2081.0	3103.0	2525.0	6494.0	3641.0	NC_001416.1_spikein	3000	4000	3173.0	3568.0	2970.0	4662.0	3824.0	4872.0	8242.0	4435.0	6439.0
NC_001416.1_spikein	4000	5000	9026.0	6359.0	NC_001416.1_spikein	4000	5000	4941.0	10.0	6068.0	4769.0	8246.0	2945.0	5148.0	1921.0	3084.0	2117.0	6226.0	3289.0	NC_001416.1_spikein	4000	5000	2995.0	3258.0	2863.0	4282.0	3733.0	4588.0	7782.0	4088.0	6482.0
NC_001416.1_spikein	5000	6000	13603.0	8905.0	NC_001416.1_spikein	5000	6000	8493.0	20.0	9261.0	8107.0	12844.0	4656.0	9435.0	3528.0	5257.0	3601.0	9872.0	5159.0	NC_001416.1_spikein	5000	6000	4862.0	5343.0	4763.0	6679.0	6036.0	7262.0	12335.0	6538.0	10568.0
NC_001416.1_spikein	6000	7000	11834.0	7756.0	NC_001416.1_spikein	6000	7000	6418.0	15.0	8067.0	5872.0	10114.0	3771.0	6779.0	2623.0	3710.0	2738.0	7498.0	4049.0	NC_001416.1_spikein	6000	7000	3696.0	3976.0	3479.0	5244.0	4537.0	5551.0	9055.0	5215.0	7778.0
NC_001416.1_spikein	7000	8000	11047.0	6828.0	NC_001416.1_spikein	7000	8000	6055.0	18.0	7082.0	5449.0	9158.0	3496.0	6174.0	2342.0	3501.0	2679.0	7086.0	3679.0	NC_001416.1_spikein	7000	8000	3520.0	3613.0	3329.0	4911.0	4106.0	4967.0	8493.0	4636.0	7172.0
NC_001416.1_spikein	8000	9000	9057.0	5817.0	NC_001416.1_spikein	8000	9000	4547.0	2.0	5674.0	4022.0	7068.0	2659.0	4512.0	1645.0	2355.0	1861.0	5143.0	2827.0	NC_001416.1_spikein	8000	9000	2356.0	2603.0	2263.0	3599.0	2833.0	3728.0	6215.0	3343.0	5333.0
NC_001416.1_spikein	9000	10000	9177.0	5722.0	NC_001416.1_spikein	9000	10000	4918.0	4.0	5612.0	4715.0	7245.0	2737.0	4864.0	1836.0	2801.0	2055.0	5582.0	2983.0	NC_001416.1_spikein	9000	10000	2739.0	3121.0	2688.0	4058.0	3334.0	4148.0	6832.0	3804.0	5724.0
